                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2146,                 20.002,                 1.2782,                0.11922,                0.41603,                 0.0654,                 0.0232,                 2.2437,                 13.429,                 1.0315,             0.00048343,             0.00048343,             0.00048343
                      2,                 2.5233,                 3.4424,                 1.0011,                0.33509,                0.36295,                0.29458,                0.12785,                  2.158,                  3.897,                 1.0414,             0.00097136,             0.00097136,             0.00097136
                      3,                 2.4182,                 2.1203,                0.99686,                0.16915,                0.06516,                0.01962,                0.00569,                 2.7948,                 290.51,                 1.2767,              0.0014469,              0.0014469,              0.0014469
                      4,                 2.4575,                  1.944,                 1.0019,                0.52801,                0.17822,                0.19186,                0.07328,                 2.6411,                 3.2346,                 1.2927,              0.0016051,              0.0016051,              0.0016051
                      5,                 2.3078,                 1.6961,                0.93905,                0.56299,                0.29164,                0.29189,                0.14104,                  2.252,                 5.5723,                 1.1286,              0.0016051,              0.0016051,              0.0016051
                      6,                 2.1559,                 1.5121,                0.96765,                0.62152,                 0.3831,                0.39442,                0.15149,                  2.265,                 2.0393,                  1.018,              0.0015845,              0.0015845,              0.0015845
                      7,                 2.1558,                 1.4984,                0.92993,                0.67036,                0.43111,                0.51152,                0.22312,                 2.0997,                 1.6636,                0.99829,              0.0015639,              0.0015639,              0.0015639
                      8,                 2.1374,                 1.3499,                0.93479,                0.64874,                0.52671,                0.54955,                0.20804,                 2.2216,                 1.4053,                0.99705,              0.0015432,              0.0015432,              0.0015432
                      9,                 2.0735,                 1.3253,                0.90852,                0.78834,                    0.6,                0.66416,                0.31758,                 1.9416,                 1.3233,                0.95359,              0.0015226,              0.0015226,              0.0015226
                     10,                 2.0094,                 1.2302,                0.89355,                0.77618,                0.60314,                0.70396,                0.26966,                 2.1191,                 1.2061,                0.94993,               0.001502,               0.001502,               0.001502
                     11,                 1.9206,                  1.278,                0.89201,                0.72047,                0.64652,                0.73245,                0.32701,                 1.9004,                 1.4707,                0.93747,              0.0014813,              0.0014813,              0.0014813
                     12,                 1.9141,                 1.2593,                0.88368,                0.85209,                 0.6448,                0.74257,                0.34681,                 1.8794,                 1.2898,                0.93645,              0.0014607,              0.0014607,              0.0014607
                     13,                 1.7591,                 1.1468,                0.87561,                0.85562,                0.73345,                0.80771,                0.41049,                 1.7757,                 1.0268,                0.91839,              0.0014401,              0.0014401,              0.0014401
                     14,                 1.8702,                 1.1725,                0.90019,                0.91789,                0.72616,                0.82549,                0.40506,                 1.7723,                 1.0381,                0.91665,              0.0014195,              0.0014195,              0.0014195
                     15,                  1.765,                 1.0958,                0.86661,                0.78091,                0.63763,                0.73476,                0.39015,                 1.7724,                 1.5786,                0.92453,              0.0013988,              0.0013988,              0.0013988
                     16,                 1.8484,                 1.1083,                0.86668,                 0.8407,                0.63401,                0.73309,                0.32157,                  2.011,                 1.0827,                0.93478,              0.0013782,              0.0013782,              0.0013782
                     17,                 1.7659,                 1.0098,                0.87963,                0.80712,                0.61642,                0.71071,                0.39307,                 1.7143,                 1.1818,                0.91432,              0.0013576,              0.0013576,              0.0013576
                     18,                 1.7742,                  1.053,                0.87432,                0.86469,                0.75016,                0.82851,                0.39212,                 1.7736,                 1.0108,                0.93001,              0.0013369,              0.0013369,              0.0013369
                     19,                 1.7725,                 1.0213,                0.86065,                0.89202,                0.70592,                0.80765,                0.40582,                  1.653,                0.89628,                0.88802,              0.0013163,              0.0013163,              0.0013163
                     20,                 1.7091,                0.98639,                0.85393,                0.87395,                0.76324,                0.84143,                0.41196,                  1.878,                0.98808,                0.91295,              0.0012957,              0.0012957,              0.0012957
                     21,                 1.6475,                 0.9319,                0.85716,                0.87992,                  0.773,                 0.8232,                0.45192,                 1.6319,                0.90913,                0.89963,               0.001275,               0.001275,               0.001275
                     22,                 1.6869,                0.99232,                0.85201,                 0.7919,                0.71584,                0.76796,                 0.3329,                   1.99,                  1.026,                0.93377,              0.0012544,              0.0012544,              0.0012544
                     23,                 1.7043,                0.99497,                0.85083,                0.85125,                0.72148,                0.78951,                0.39329,                 1.7864,                 0.9208,                 0.9016,              0.0012338,              0.0012338,              0.0012338
                     24,                 1.6404,                0.93533,                0.85532,                0.84299,                0.74575,                0.82492,                0.41142,                 1.7693,                0.92761,                0.90368,              0.0012132,              0.0012132,              0.0012132
                     25,                  1.598,                0.89505,                0.85528,                0.89289,                0.72927,                0.80339,                 0.4268,                 1.6827,                 1.0005,                0.88828,              0.0011925,              0.0011925,              0.0011925
                     26,                  1.599,                 0.8997,                0.85156,                 0.9176,                0.72101,                0.84297,                0.43447,                 1.6511,                0.92842,                0.90117,              0.0011719,              0.0011719,              0.0011719
                     27,                 1.5783,                0.86017,                0.83184,                0.88672,                0.79277,                0.84307,                0.43305,                 1.7582,                0.82686,                0.89821,              0.0011513,              0.0011513,              0.0011513
                     28,                 1.6379,                0.87099,                0.85052,                0.89308,                 0.6999,                0.81542,                0.36481,                 1.9117,                0.92448,                0.91853,              0.0011306,              0.0011306,              0.0011306
                     29,                 1.6106,                0.88086,                0.85068,                0.87063,                0.75169,                0.82873,                0.39864,                 1.8203,                0.92436,                0.92198,                0.00111,                0.00111,                0.00111
                     30,                 1.5516,                0.86304,                0.84561,                0.86384,                0.75806,                0.83209,                0.42318,                 1.6574,                0.85734,                0.88524,              0.0010894,              0.0010894,              0.0010894
                     31,                 1.5979,                0.91505,                0.84849,                0.91043,                0.72985,                0.85369,                0.41703,                  1.762,                0.88435,                0.90895,              0.0010688,              0.0010688,              0.0010688
