                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0825,                 20.884,                 1.1378,                 0.0029,                0.35749,                0.00215,                0.00095,                  2.466,                 685.83,                 1.1016,             0.00051677,             0.00051677,             0.00051677
                      2,                  2.489,                  2.896,                0.95528,                 0.0029,                0.35749,                0.00215,                0.00095,                    nan,                    nan,                    nan,              0.0010372,              0.0010372,              0.0010372
                      3,                 2.3911,                 2.2803,                0.96253,                  7e-05,                 0.0061,                  4e-05,                      0,                    nan,                    nan,                    nan,              0.0015445,              0.0015445,              0.0015445
                      4,                 2.4215,                 2.0635,                0.96466,                  7e-05,                 0.0061,                  4e-05,                      0,                    nan,                    nan,                    nan,              0.0016051,              0.0016051,              0.0016051
                      5,                 2.5429,                 1.9735,                0.94907,                  7e-05,                 0.0061,                  4e-05,                      0,                      0,                    inf,                      0,              0.0016051,              0.0016051,              0.0016051
                      6,                 2.5317,                  1.821,                0.94765,                0.20991,                0.05906,                0.03042,                0.01566,                 3.6613,                    inf,                 1.4755,              0.0015845,              0.0015845,              0.0015845
                      7,                 2.4776,                 1.7217,                 0.9468,                0.00036,                0.02648,                0.00019,                  9e-05,                 2.1446,                    inf,                 0.7602,              0.0015639,              0.0015639,              0.0015639
                      8,                 2.2595,                 1.4434,                0.92647,                0.04536,                0.01429,                  0.003,                0.00101,                 1.7886,                 136.93,                0.58568,              0.0015432,              0.0015432,              0.0015432
                      9,                  2.131,                 1.3578,                0.88858,                0.60828,                0.58903,                0.62925,                0.28385,                 2.1313,                 1.2605,                0.91048,              0.0015226,              0.0015226,              0.0015226
                     10,                 2.2012,                 1.3857,                0.89493,                0.33766,                0.38921,                0.27196,                0.13129,                 1.9526,                 149.06,                0.91811,               0.001502,               0.001502,               0.001502
                     11,                 2.0444,                 1.2682,                0.88282,                0.73823,                0.58885,                0.65803,                0.29302,                 1.9798,                 1.0675,                0.87034,              0.0014813,              0.0014813,              0.0014813
                     12,                 2.0384,                 1.2598,                0.87643,                0.74452,                0.60558,                 0.6668,                0.30731,                 1.9557,                 1.1443,                0.90994,              0.0014607,              0.0014607,              0.0014607
                     13,                 1.9589,                 1.1893,                0.87636,                0.75706,                0.68291,                 0.7656,                0.35911,                 1.7882,                 1.0012,                0.85733,              0.0014401,              0.0014401,              0.0014401
                     14,                 1.9503,                 1.1144,                0.86979,                 0.7313,                0.58513,                0.69028,                0.30814,                 1.9326,                 1.1049,                0.85117,              0.0014195,              0.0014195,              0.0014195
                     15,                 1.8328,                 1.0842,                0.85974,                0.78904,                0.59003,                0.73121,                0.37147,                 1.7961,                 1.0483,                0.85282,              0.0013988,              0.0013988,              0.0013988
                     16,                 1.9416,                 1.2478,                0.86003,                0.77489,                0.65328,                0.72592,                0.31223,                 2.0641,                 1.0873,                 0.8778,              0.0013782,              0.0013782,              0.0013782
                     17,                 1.8781,                 1.1101,                0.86476,                0.83778,                 0.5958,                 0.7368,                0.33074,                  1.965,                0.95325,                0.86369,              0.0013576,              0.0013576,              0.0013576
                     18,                 1.8408,                 1.0329,                0.84427,                0.82711,                0.60197,                0.73748,                 0.3023,                 1.9937,                 1.0097,                0.85873,              0.0013369,              0.0013369,              0.0013369
                     19,                 1.7591,                 1.0403,                0.84072,                0.77409,                0.63748,                0.74047,                 0.3409,                 1.9191,                 1.0088,                0.85959,              0.0013163,              0.0013163,              0.0013163
                     20,                  1.788,                0.98877,                0.84358,                0.88934,                0.60819,                0.75888,                0.36794,                 1.7763,                0.95549,                0.84649,              0.0012957,              0.0012957,              0.0012957
                     21,                 1.7706,                0.97013,                0.83863,                0.79189,                 0.6122,                0.73542,                0.35711,                 1.8508,                 1.0773,                0.85712,               0.001275,               0.001275,               0.001275
                     22,                 1.7453,                0.98833,                0.84111,                0.80637,                 0.5907,                0.70157,                0.29586,                 1.9919,                 1.0242,                0.85115,              0.0012544,              0.0012544,              0.0012544
                     23,                 1.6943,                 0.9828,                0.85117,                0.85197,                0.62944,                0.76132,                0.38763,                 1.7796,                0.91604,                0.84032,              0.0012338,              0.0012338,              0.0012338
                     24,                 1.6737,                 0.9666,                0.85565,                0.75484,                0.64281,                0.74682,                0.37738,                 1.6613,                0.93011,                0.83089,              0.0012132,              0.0012132,              0.0012132
                     25,                 1.6486,                 0.9708,                0.83527,                0.88693,                0.63678,                0.77788,                0.37277,                 1.8227,                0.88032,                0.83848,              0.0011925,              0.0011925,              0.0011925
                     26,                 1.5933,                0.92947,                0.83662,                 0.7801,                 0.6916,                 0.7947,                0.35693,                  1.947,                0.84303,                0.85005,              0.0011719,              0.0011719,              0.0011719
                     27,                 1.5875,                0.84057,                0.83233,                0.79868,                0.62439,                0.74367,                0.33654,                 1.8703,                0.94942,                0.85518,              0.0011513,              0.0011513,              0.0011513
                     28,                 1.6363,                0.83435,                0.83475,                0.81645,                0.72494,                0.82007,                0.39879,                 1.7892,                0.79422,                0.84033,              0.0011306,              0.0011306,              0.0011306
                     29,                  1.601,                0.82888,                0.82186,                0.83201,                 0.6885,                0.81797,                0.34361,                 1.9988,                0.86238,                0.85819,                0.00111,                0.00111,                0.00111
                     30,                 1.6269,                0.86883,                0.82918,                0.87944,                0.67388,                0.81943,                0.36298,                 1.8076,                0.82572,                0.83339,              0.0010894,              0.0010894,              0.0010894
                     31,                 1.6406,                0.86417,                0.82829,                0.83121,                0.73797,                0.83483,                0.37926,                 1.8696,                 0.8451,                  0.838,              0.0010688,              0.0010688,              0.0010688
                     32,                  1.624,                 0.8149,                0.81881,                0.87703,                0.67317,                0.80662,                 0.3908,                 1.6999,                0.79521,                0.83414,              0.0010481,              0.0010481,              0.0010481
                     33,                 1.5365,                0.77733,                0.82628,                0.85971,                0.69948,                0.83616,                0.43585,                 1.5863,                0.77099,                0.82913,              0.0010275,              0.0010275,              0.0010275
                     34,                 1.4553,                 0.6872,                0.82412,                0.84524,                0.74249,                0.83322,                0.46854,                 1.4663,                0.70596,                0.81436,              0.0010069,              0.0010069,              0.0010069
                     35,                 1.6253,                0.81407,                0.81773,                0.88026,                0.74526,                0.85934,                 0.4259,                 1.7301,                0.73958,                0.83201,             0.00098624,             0.00098624,             0.00098624
                     36,                 1.5096,                0.78624,                0.82121,                0.85373,                0.69716,                0.82499,                0.38784,                 1.8434,                0.74717,                0.83822,             0.00096561,             0.00096561,             0.00096561
                     37,                 1.5569,                0.77585,                0.81313,                0.79193,                0.68675,                 0.7954,                0.41276,                  1.701,                0.82984,                0.83556,             0.00094498,             0.00094498,             0.00094498
                     38,                 1.4488,                0.75054,                0.80858,                0.83401,                0.76352,                0.85044,                0.43952,                 1.6451,                0.73469,                 0.8266,             0.00092435,             0.00092435,             0.00092435
                     39,                 1.4814,                0.76567,                0.82405,                0.81386,                0.74233,                0.82822,                0.41092,                 1.7429,                0.76688,                0.83449,             0.00090372,             0.00090372,             0.00090372
                     40,                  1.436,                0.75425,                0.80719,                0.81773,                0.74071,                0.84554,                0.38989,                 1.7079,                0.75286,                0.82473,             0.00088309,             0.00088309,             0.00088309
                     41,                 1.4766,                0.75348,                0.80719,                0.78923,                0.75482,                0.83467,                0.43965,                 1.6291,                0.70041,                0.82613,             0.00086246,             0.00086246,             0.00086246
                     42,                 1.4667,                 0.7628,                0.81777,                0.83279,                0.75963,                0.84047,                0.48722,                 1.4896,                0.65166,                0.81929,             0.00084184,             0.00084184,             0.00084184
                     43,                 1.5145,                0.75114,                0.81774,                0.82785,                0.77619,                0.85326,                0.42691,                 1.7127,                0.69102,                0.82453,             0.00082121,             0.00082121,             0.00082121
                     44,                 1.4826,                0.73574,                0.81665,                0.84121,                0.76272,                0.83847,                0.37012,                 1.9205,                0.72703,                0.83248,             0.00080058,             0.00080058,             0.00080058
                     45,                 1.5369,                0.74754,                0.81844,                0.87789,                0.73833,                0.83108,                0.41378,                 1.6545,                0.69845,                0.82471,             0.00077995,             0.00077995,             0.00077995
                     46,                 1.4223,                0.74761,                0.81153,                0.81645,                0.72362,                0.82364,                0.39021,                 1.7625,                0.78944,                0.83141,             0.00075932,             0.00075932,             0.00075932
                     47,                 1.3462,                0.69307,                0.80719,                0.88922,                0.71899,                0.83057,                0.42096,                 1.7114,                0.71224,                0.82802,             0.00073869,             0.00073869,             0.00073869
                     48,                 1.3614,                0.70691,                0.80016,                0.83889,                0.82656,                0.88223,                0.49205,                  1.515,                0.67271,                 0.8196,             0.00071806,             0.00071806,             0.00071806
                     49,                 1.3917,                0.71085,                0.78666,                0.88455,                0.83502,                0.91009,                0.48376,                 1.5924,                0.64432,                0.82652,             0.00069743,             0.00069743,             0.00069743
                     50,                 1.3794,                0.65357,                0.81632,                0.83567,                0.74547,                0.81889,                0.36161,                 1.9486,                0.73724,                0.84049,              0.0006768,              0.0006768,              0.0006768
                     51,                 1.4703,                0.73209,                0.80654,                 0.9066,                0.72613,                0.84916,                0.42172,                 1.6966,                0.70162,                0.82316,             0.00065617,             0.00065617,             0.00065617
                     52,                  1.338,                0.65902,                0.80502,                0.87081,                0.76771,                0.86005,                0.44591,                 1.5732,                0.69803,                0.81885,             0.00063554,             0.00063554,             0.00063554
                     53,                 1.2868,                0.66257,                 0.8065,                0.88951,                0.83163,                0.90554,                0.49049,                 1.5348,                0.69624,                 0.8236,             0.00061491,             0.00061491,             0.00061491
                     54,                  1.381,                0.69241,                0.80818,                0.78124,                0.80026,                0.85019,                0.38586,                 1.8342,                 0.7495,                0.83167,             0.00059429,             0.00059429,             0.00059429
                     55,                 1.3317,                0.62019,                0.79888,                 0.8124,                0.78293,                0.85568,                0.42231,                 1.7628,                0.71583,                0.83369,             0.00057366,             0.00057366,             0.00057366
                     56,                 1.3458,                0.66246,                0.80849,                0.87449,                0.75261,                0.87281,                0.46985,                 1.5408,                0.66269,                0.81733,             0.00055303,             0.00055303,             0.00055303
                     57,                 1.2396,                0.63704,                0.79306,                0.86895,                0.78223,                0.88637,                 0.4763,                 1.4966,                 0.6444,                0.81106,              0.0005324,              0.0005324,              0.0005324
                     58,                 1.3706,                0.66756,                0.81241,                0.82911,                 0.8453,                0.89783,                0.50729,                 1.4675,                0.62813,                0.82139,             0.00051177,             0.00051177,             0.00051177
                     59,                 1.2686,                0.59808,                0.79582,                0.88332,                0.82536,                0.90703,                 0.4775,                 1.5238,                0.62479,                0.81553,             0.00049114,             0.00049114,             0.00049114
                     60,                 1.3132,                0.62642,                 0.7947,                0.87129,                0.84361,                0.90809,                0.47467,                 1.5438,                0.63586,                0.81664,             0.00047051,             0.00047051,             0.00047051
                     61,                  1.259,                0.59032,                0.79816,                0.86872,                0.84528,                0.90737,                0.50525,                 1.5355,                0.60992,                0.82308,             0.00044988,             0.00044988,             0.00044988
                     62,                  1.261,                0.58357,                0.79625,                0.85088,                0.83815,                0.89881,                0.47424,                  1.638,                0.62414,                0.82653,             0.00042925,             0.00042925,             0.00042925
                     63,                 1.3023,                0.60612,                 0.8006,                0.86282,                0.87326,                0.91085,                0.47837,                 1.5858,                0.62958,                0.82584,             0.00040862,             0.00040862,             0.00040862
                     64,                 1.2592,                0.60793,                0.79042,                0.89816,                0.80958,                0.90467,                0.46903,                 1.6175,                0.63121,                0.82651,             0.00038799,             0.00038799,             0.00038799
                     65,                 1.2554,                0.61758,                0.79926,                 0.8714,                0.84147,                0.90666,                0.48871,                 1.5375,                0.62595,                0.82649,             0.00036737,             0.00036737,             0.00036737
                     66,                 1.2019,                0.57843,                0.80361,                0.89022,                0.85311,                0.91846,                0.50506,                 1.5878,                0.61719,                0.82307,             0.00034674,             0.00034674,             0.00034674
                     67,                   1.21,                0.61387,                0.78512,                0.88554,                0.80557,                0.89096,                0.47341,                 1.6358,                0.63932,                0.82937,             0.00032611,             0.00032611,             0.00032611
                     68,                 1.1448,                0.55685,                 0.8067,                0.89521,                0.79853,                0.89578,                0.51708,                 1.5205,                 0.6267,                0.82251,             0.00030548,             0.00030548,             0.00030548
                     69,                  1.155,                0.57044,                0.79046,                0.88547,                0.80348,                0.89323,                0.48388,                 1.5978,                0.62997,                0.81764,             0.00028485,             0.00028485,             0.00028485
                     70,                 1.1274,                0.55031,                 0.7863,                 0.8583,                 0.8314,                0.89495,                0.48028,                 1.6193,                0.63656,                 0.8272,             0.00026422,             0.00026422,             0.00026422
                     71,                 1.0677,                0.51715,                0.79443,                0.95167,                0.78669,                0.91477,                0.48998,                 1.6296,                0.60998,                0.82776,             0.00024359,             0.00024359,             0.00024359
                     72,                 1.0495,                0.50218,                0.79138,                 0.8983,                0.84425,                0.91728,                0.49623,                 1.5779,                0.60215,                0.82544,             0.00022296,             0.00022296,             0.00022296
                     73,                  1.049,                0.53236,                0.79455,                 0.8622,                0.85609,                0.90654,                0.49368,                   1.58,                0.61503,                0.82485,             0.00020233,             0.00020233,             0.00020233
